# numero de partículas   :  864
# densidad               : 0.6000
# temperatura inicial    : 2.0000
# volumen                : 0.144E+04
# rcut                   : 2.5000
# paso temporal          : 0.0050
# pasos de equilibración :  10000
# pasos de medición      :  50000
# t, Ekin, Epot, Etot, Temp, Pres, Vol, L, rho
   0.179950E+02    0.255716E+04   -0.314810E+04   -0.590945E+03    0.197311E+01    0.176644E+01    0.147380E+04    0.113801E+02    0.586239E+00
   0.184950E+02    0.259962E+04   -0.318321E+04   -0.583592E+03    0.200588E+01    0.169476E+01    0.147486E+04    0.113828E+02    0.585820E+00
   0.189950E+02    0.258177E+04   -0.315882E+04   -0.577049E+03    0.199211E+01    0.163422E+01    0.147575E+04    0.113851E+02    0.585466E+00
   0.194950E+02    0.260077E+04   -0.318800E+04   -0.587228E+03    0.200676E+01    0.158240E+01    0.147666E+04    0.113875E+02    0.585103E+00
   0.199950E+02    0.259837E+04   -0.317904E+04   -0.580663E+03    0.200492E+01    0.162868E+01    0.147763E+04    0.113899E+02    0.584721E+00
   0.204950E+02    0.260056E+04   -0.318405E+04   -0.583493E+03    0.200660E+01    0.160110E+01    0.147860E+04    0.113924E+02    0.584338E+00
   0.209950E+02    0.259749E+04   -0.316944E+04   -0.571953E+03    0.200423E+01    0.165816E+01    0.147960E+04    0.113950E+02    0.583941E+00
   0.214950E+02    0.259629E+04   -0.317007E+04   -0.573781E+03    0.200331E+01    0.164234E+01    0.148058E+04    0.113975E+02    0.583555E+00
   0.219950E+02    0.260124E+04   -0.317146E+04   -0.570218E+03    0.200713E+01    0.146437E+01    0.148145E+04    0.113998E+02    0.583213E+00
   0.224950E+02    0.263631E+04   -0.320204E+04   -0.565728E+03    0.203419E+01    0.136692E+01    0.148221E+04    0.114017E+02    0.582915E+00
   0.229950E+02    0.260377E+04   -0.315579E+04   -0.552028E+03    0.200908E+01    0.166754E+01    0.148315E+04    0.114041E+02    0.582544E+00
   0.234950E+02    0.254018E+04   -0.311542E+04   -0.575235E+03    0.196002E+01    0.164855E+01    0.148385E+04    0.114059E+02    0.582270E+00
   0.239950E+02    0.260457E+04   -0.317853E+04   -0.573960E+03    0.200970E+01    0.156329E+01    0.148470E+04    0.114081E+02    0.581937E+00
   0.244950E+02    0.256305E+04   -0.313580E+04   -0.572751E+03    0.197766E+01    0.175057E+01    0.148559E+04    0.114104E+02    0.581586E+00
   0.249950E+02    0.260066E+04   -0.317598E+04   -0.575317E+03    0.200668E+01    0.146364E+01    0.148641E+04    0.114125E+02    0.581267E+00
   0.254950E+02    0.257651E+04   -0.314172E+04   -0.565214E+03    0.198804E+01    0.166191E+01    0.148733E+04    0.114148E+02    0.580905E+00
   0.259950E+02    0.265275E+04   -0.319634E+04   -0.543589E+03    0.204688E+01    0.148370E+01    0.148838E+04    0.114175E+02    0.580497E+00
   0.264950E+02    0.259251E+04   -0.314075E+04   -0.548236E+03    0.200039E+01    0.146070E+01    0.148921E+04    0.114196E+02    0.580173E+00
   0.269950E+02    0.257860E+04   -0.313583E+04   -0.557233E+03    0.198966E+01    0.166668E+01    0.148999E+04    0.114216E+02    0.579871E+00
